id,Overs remaining,Runs Scored,Wickets Remaining,Runs required,Match Boolean
793,18,11,9,144,True
794,17,30,9,125,True
795,16,47,9,108,True
796,15,59,9,96,True
797,14,74,8,81,True
798,13,77,8,78,True
799,12,88,8,67,True
800,11,89,7,66,True
801,10,96,7,59,True
802,9,101,7,54,True
803,8,110,7,45,True
804,7,130,7,25,True
805,6,131,6,24,True
806,5,134,6,21,True
807,4,139,6,16,True
808,3,146,5,9,True
809,2,148,5,7,True
810,1,151,4,4,True
811,0,158,4,0,True
812,19,2,10,183,True
813,18,18,10,167,True
814,17,35,10,150,True
815,16,57,10,128,True
816,15,65,9,120,True
817,14,72,9,113,True
818,13,81,9,104,True
819,12,90,8,95,True
820,11,99,8,86,True
821,10,110,8,75,True
822,9,123,8,62,True
823,8,130,8,55,True
824,7,147,8,38,True
825,6,148,7,37,True
826,5,163,7,22,True
827,4,171,7,14,True
828,3,180,6,5,True
829,2,186,5,0,True
830,19,2,9,204,False
831,18,4,8,202,False
832,17,5,7,201,False
833,16,11,7,195,False
834,15,25,7,181,False
835,14,40,7,166,False
836,13,48,7,158,False
837,12,53,6,153,False
838,11,60,5,146,False
839,10,63,5,143,False
840,9,70,5,136,False
841,8,80,5,126,False
842,7,83,5,123,False
843,6,88,4,118,False
844,5,95,3,111,False
845,4,102,2,104,False
846,3,109,1,97,False
847,19,5,9,128,False
848,18,16,9,117,False
849,17,18,8,115,False
850,16,28,8,105,False
851,15,32,6,101,False
852,14,37,6,96,False
853,13,41,6,92,False
854,12,52,5,81,False
855,11,59,5,74,False
856,10,64,5,69,False
857,9,67,5,66,False
858,8,73,4,60,False
859,7,80,4,53,False
860,6,91,4,42,False
861,5,97,4,36,False
862,4,101,4,32,False
863,3,104,3,29,False
864,2,110,1,23,False
865,19,3,10,175,True
866,18,18,10,160,True
867,17,29,10,149,True
868,16,41,9,137,True
869,15,56,9,122,True
870,14,65,9,113,True
871,13,71,9,107,True
872,12,82,9,96,True
873,11,89,9,89,True
874,10,93,8,85,True
875,9,106,8,72,True
876,8,111,8,67,True
877,7,114,7,64,True
878,6,127,7,51,True
879,5,138,7,40,True
880,4,145,6,33,True
881,3,149,6,29,True
882,2,156,6,22,True
883,1,171,5,7,True
884,0,182,5,0,True
885,19,4,10,146,False
886,18,9,10,141,False
887,17,13,9,137,False
888,16,17,8,133,False
889,15,21,8,129,False
890,14,36,8,114,False
891,13,42,8,108,False
892,12,48,7,102,False
893,11,56,6,94,False
894,10,61,6,89,False
895,9,65,6,85,False
896,8,71,6,79,False
897,7,75,5,75,False
898,6,79,5,71,False
899,5,93,5,57,False
900,4,105,5,45,False
901,3,116,5,34,False
902,2,123,4,27,False
903,1,126,2,24,False
904,0,130,1,20,False
905,19,6,10,161,False
906,18,18,10,149,False
907,17,25,10,142,False
908,16,32,9,135,False
909,15,41,9,126,False
910,14,54,9,113,False
911,13,62,9,105,False
912,12,69,9,98,False
913,11,78,9,89,False
914,10,90,9,77,False
915,9,94,9,73,False
916,8,99,9,68,False
917,7,101,8,66,False
918,6,104,7,63,False
919,5,110,7,57,False
920,4,124,7,43,False
921,3,129,6,38,False
922,2,132,5,35,False
923,1,142,5,25,False
924,0,157,5,10,False
925,19,10,10,178,True
926,18,11,10,177,True
927,17,27,10,161,True
928,16,33,10,155,True
929,15,34,9,154,True
930,14,56,9,132,True
931,13,60,9,128,True
932,12,64,9,124,True
933,11,78,9,110,True
934,10,83,9,105,True
935,9,91,9,97,True
936,8,103,9,85,True
937,7,114,9,74,True
